model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
vit_l_16,class_token,2661866.705023232,2661866.711577322,2661866.711302587,2661866.711409294,2661866.711409507,2661866.711418742,2661866.711431762,2661866.711432375,,,2661866.71143299,2661866.71157667,
vit_l_16,encoder,2661866.705023232,2661870.377947009,2661866.711581534,2661868.413216325,2661868.413216507,2661869.51584114,2661869.51584713,2661870.148922099,,,2661870.148924633,2661870.377944372,
vit_l_16,heads,2661866.705023232,2661870.391027463,2661870.37795614,2661870.383561358,2661870.383561531,2661870.38848509,2661870.389081026,2661870.390865534,,,2661870.390867173,2661870.39102666,
vit_l_16,conv_proj,2661871.805555094,2661871.811763976,2661871.805556859,2661871.809657954,2661871.80965813,2661871.809670689,2661871.809676114,2661871.811064016,,,2661871.811065372,2661871.811762932,
vit_l_16,class_token,2661871.805555094,2661871.81206536,2661871.811771267,2661871.811879442,2661871.811879652,2661871.811889173,2661871.811902809,2661871.811903368,,,2661871.811904088,2661871.81206445,
vit_l_16,encoder,2661871.805555094,2661875.303822278,2661871.812069639,2661873.372543353,2661873.372543552,2661874.475846036,2661874.475852855,2661875.074077592,,,2661875.074080144,2661875.303819835,
vit_l_16,heads,2661871.805555094,2661875.316836423,2661875.303831942,2661875.309438739,2661875.309438981,2661875.314348768,2661875.314907013,2661875.31667931,,,2661875.316680724,2661875.316835464,
vit_l_16,conv_proj,2661876.748100162,2661876.754447499,2661876.748102009,2661876.752224211,2661876.752224476,2661876.752237639,2661876.752244737,2661876.753729209,,,2661876.753730554,2661876.754446225,
vit_l_16,class_token,2661876.748100162,2661876.754739599,2661876.754455101,2661876.75456927,2661876.754569507,2661876.754578521,2661876.754591592,2661876.754592265,,,2661876.75459292,2661876.754738965,
vit_l_16,encoder,2661876.748100162,2661880.585626945,2661876.754743964,2661878.526465669,2661878.526465899,2661879.629720146,2661879.629727441,2661880.355370721,,,2661880.355373088,2661880.585624916,
vit_l_16,heads,2661876.748100162,2661880.59827831,2661880.58563608,2661880.590895676,2661880.590895853,2661880.595853264,2661880.596367946,2661880.598118453,,,2661880.598119993,2661880.598277376,
vit_l_16,conv_proj,2661882.024666294,2661882.031034753,2661882.024667986,2661882.028860738,2661882.028860975,2661882.028872721,2661882.028878342,2661882.030300509,,,2661882.030301828,2661882.03103353,
vit_l_16,class_token,2661882.024666294,2661882.031323142,2661882.031042931,2661882.031149595,2661882.03114978,2661882.03116033,2661882.031174121,2661882.031174819,,,2661882.03117565,2661882.03132228,
vit_l_16,encoder,2661882.024666294,2661885.977652589,2661882.031327657,2661883.923714298,2661883.923714458,2661885.026734912,2661885.026741512,2661885.749654487,,,2661885.749657037,2661885.977650196,
vit_l_16,heads,2661882.024666294,2661885.990176604,2661885.977662644,2661885.982891771,2661885.982891928,2661885.987826293,2661885.988278602,2661885.990011162,,,2661885.99001246,2661885.99017585,
vit_l_16,conv_proj,2661887.413689739,2661887.419906287,2661887.413691417,2661887.417786107,2661887.417786355,2661887.417798225,2661887.41780401,2661887.419192973,,,2661887.419194342,2661887.419905105,
vit_l_16,class_token,2661887.413689739,2661887.420203725,2661887.419914392,2661887.420034938,2661887.420035156,2661887.420044613,2661887.420057632,2661887.420058262,,,2661887.420058923,2661887.420203036,
vit_l_16,encoder,2661887.413689739,2661890.985967377,2661887.420207727,2661889.051118824,2661889.051119025,2661890.156678748,2661890.156685691,2661890.757396541,,,2661890.757399129,2661890.985964633,
vit_l_16,heads,2661887.413689739,2661891.023857104,2661890.98597632,2661890.991238043,2661890.991238253,2661890.996159265,2661891.021904487,2661891.023672054,,,2661891.023673875,2661891.023856082,
vit_l_16,conv_proj,2661892.308151183,2661892.314382919,2661892.308152957,2661892.312247941,2661892.312248173,2661892.312260188,2661892.312265957,2661892.313671209,,,2661892.313672784,2661892.314381802,
vit_l_16,class_token,2661892.308151183,2661892.314678206,2661892.314390432,2661892.314497384,2661892.314497572,2661892.314506738,2661892.314519356,2661892.314519933,,,2661892.31452053,2661892.314677481,
vit_l_16,encoder,2661892.308151183,2661896.104676246,2661892.314682519,2661894.05336845,2661894.053368645,2661895.156762948,2661895.156769661,2661895.876410665,,,2661895.876413154,2661896.104673504,
vit_l_16,heads,2661892.308151183,2661896.158616444,2661896.1046854,2661896.109998415,2661896.109998606,2661896.114968411,2661896.155572892,2661896.158414338,,,2661896.158415706,2661896.15861555,
vit_b_16,conv_proj,2661897.376544546,2661897.381510615,2661897.376546134,2661897.379657269,2661897.379657473,2661897.379669475,2661897.379675689,2661897.380910979,,,2661897.380912283,2661897.381509509,
vit_b_16,class_token,2661897.376544546,2661897.381791659,2661897.381517959,2661897.381623486,2661897.381623671,2661897.381632707,2661897.381645778,2661897.381646274,,,2661897.38164687,2661897.381790563,
vit_b_16,encoder,2661897.376544546,2661898.484711692,2661897.381795635,2661897.909359969,2661897.909360366,2661898.220954567,2661898.220961858,2661898.434925001,,,2661898.434927327,2661898.484709052,
vit_b_16,heads,2661897.376544546,2661898.494349705,2661898.484721523,2661898.488702639,2661898.488702817,2661898.492457303,2661898.492695466,2661898.494214004,,,2661898.494215418,2661898.4943489,
vit_b_16,conv_proj,2661898.895866637,2661898.900821814,2661898.895868457,2661898.898994819,2661898.898995022,2661898.899007342,2661898.89901317,2661898.900253036,,,2661898.900254637,2661898.900820781,
