model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet50,bn1,2388822.845252083,2388822.861367325,2388822.846398018,2388822.846887422,2388822.84688803,2388822.846888477,2388822.847997797,2388822.849873725,,,2388822.853813662,2388822.861221232,
resnet50,relu,2388822.845255358,2388822.862303686,2388822.847094744,2388822.847115826,2388822.847116036,2388822.847116248,2388822.84990106,2388822.85015283,,,2388822.861250784,2388822.862267789,
resnet50,maxpool,2388822.845258558,2388822.864274446,2388822.847463217,2388822.847491972,2388822.847492192,2388822.847492623,2388822.85016587,2388822.850604704,,,2388822.8622801,2388822.863775589,
resnet50,layer1,2388822.845261771,2388822.887828163,2388822.847631488,2388822.855079095,2388822.855079369,2388822.855079573,2388822.857859497,2388822.869273155,,,2388822.869296426,2388822.887785816,
resnet50,layer2,2388822.845264334,2388822.906030804,2388822.855161237,2388822.871544712,2388822.87154509,2388822.871545331,2388822.871629732,2388822.887021315,,,2388822.887797529,2388822.906009566,
resnet50,layer3,2388822.845266757,2388822.987996705,2388822.871673627,2388822.93083245,2388822.930832713,2388822.930832915,2388822.930908839,2388822.957802106,,,2388822.95784247,2388822.987962998,
resnet50,layer4,2388822.845269297,2388823.123325465,2388822.930950355,2388823.036320021,2388823.03632029,2388823.036320546,2388823.036401064,2388823.095709546,,,2388823.095763254,2388823.123245374,
resnet50,avgpool,2388822.845272085,2388823.124022576,2388823.036458445,2388823.036475001,2388823.036475155,2388823.036475333,2388823.102869761,2388823.103397298,,,2388823.123267433,2388823.123961193,
resnet50,fc,2388822.845274566,2388823.124679784,2388823.036592007,2388823.049543551,2388823.049543744,2388823.049543958,2388823.103420882,2388823.113075733,,,2388823.123973811,2388823.124657215,
resnet50,conv1,2388823.318066817,2388823.332166633,2388823.318307988,2388823.318812481,2388823.318813009,2388823.31881349,2388823.319000218,2388823.320110982,,,2388823.320335711,2388823.331991014,
resnet50,bn1,2388823.318078756,2388823.33457089,2388823.318922406,2388823.319621122,2388823.31962135,2388823.319621621,2388823.320208218,2388823.321761872,,,2388823.332048164,2388823.334478801,
