model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet101,layer4,2388886.040720835,2388886.603402545,2388886.259560737,2388886.359256945,2388886.359257363,2388886.35925758,2388886.448760501,2388886.482440014,,,2388886.583935858,2388886.603337301,
resnet101,avgpool,2388886.040723188,2388886.60375906,2388886.359506911,2388886.359540687,2388886.359540868,2388886.359540969,2388886.489857504,2388886.490234722,,,2388886.603358721,2388886.603710239,
resnet101,fc,2388886.040725292,2388886.604345376,2388886.360373127,2388886.373621586,2388886.373621767,2388886.373622065,2388886.490253705,2388886.497290605,,,2388886.603726102,2388886.604313321,
resnet152,conv1,2388887.02828645,2388887.040635116,2388887.028588421,2388887.028908237,2388887.028908523,2388887.028908788,2388887.028990192,2388887.030176351,,,2388887.030197965,2388887.040411643,
resnet152,bn1,2388887.02829927,2388887.044554256,2388887.029040456,2388887.029396182,2388887.029396442,2388887.029396683,2388887.030313359,2388887.03188213,,,2388887.040424467,2388887.044376649,
resnet152,relu,2388887.028302224,2388887.046952727,2388887.029711195,2388887.029731085,2388887.029731319,2388887.029731486,2388887.031903621,2388887.032124026,,,2388887.044416762,2388887.046161217,
resnet152,maxpool,2388887.028304833,2388887.047896622,2388887.029883502,2388887.029917179,2388887.029917405,2388887.029917587,2388887.032133913,2388887.032297959,,,2388887.046174508,2388887.047874972,
resnet152,layer1,2388887.028307243,2388887.072066622,2388887.030089856,2388887.035495696,2388887.035495944,2388887.035496104,2388887.035620765,2388887.053630844,,,2388887.053685357,2388887.072035568,
resnet152,layer2,2388887.028309453,2388887.144053249,2388887.035568427,2388887.074574309,2388887.07457474,2388887.074574994,2388887.074724455,2388887.104649053,,,2388887.104749931,2388887.144018062,
resnet152,layer3,2388887.028311686,2388887.772829809,2388887.074792062,2388887.373700172,2388887.373700488,2388887.373700683,2388887.373841975,2388887.569755434,,,2388887.569817649,2388887.772724748,
resnet152,layer4,2388887.028314096,2388887.791556666,2388887.373905515,2388887.472407307,2388887.472407628,2388887.472407859,2388887.570676291,2388887.599096185,,,2388887.77276131,2388887.79150092,
resnet152,avgpool,2388887.028316477,2388887.791845879,2388887.472494916,2388887.472512336,2388887.472512475,2388887.472512627,2388887.599391458,2388887.599664178,,,2388887.791520708,2388887.791817577,
resnet152,fc,2388887.028318899,2388887.792381135,2388887.472554309,2388887.48610776,2388887.486108042,2388887.486108821,2388887.599678492,2388887.602984322,,,2388887.791827432,2388887.792363226,
resnet101,conv1,2388888.508805552,2388888.516102557,2388888.509141058,2388888.509547642,2388888.509547929,2388888.50954829,2388888.509623401,2388888.510911139,,,2388888.510954816,2388888.516030884,
resnet101,bn1,2388888.508819282,2388888.525180014,2388888.509673063,2388888.509948017,2388888.509948275,2388888.509948484,2388888.511051265,2388888.512771374,,,2388888.51605599,2388888.524745039,
resnet101,relu,2388888.508822728,2388888.527507669,2388888.510029985,2388888.51004923,2388888.510049409,2388888.510049682,2388888.512797533,2388888.51324054,,,2388888.524780141,2388888.52736472,
resnet101,maxpool,2388888.508825238,2388888.529942122,2388888.510191786,2388888.510220805,2388888.510221066,2388888.510221252,2388888.513253347,2388888.513585301,,,2388888.527379506,2388888.529818446,
resnet101,layer1,2388888.508827523,2388888.561481061,2388888.510459226,2388888.52172186,2388888.521722162,2388888.521722478,2388888.521865033,2388888.538699767,,,2388888.538750525,2388888.561359183,
resnet101,layer2,2388888.508829851,2388888.589541386,2388888.522024929,2388888.546241891,2388888.546242499,2388888.546242727,2388888.546346723,2388888.567003374,,,2388888.567050101,2388888.589507474,
resnet101,layer3,2388888.508832251,2388888.981167181,2388888.546416305,2388888.7372203,2388888.737220757,2388888.737221113,2388888.737341426,2388888.851738811,,,2388888.851801441,2388888.981069941,
resnet101,layer4,2388888.508834531,2388889.001609418,2388888.737540248,2388888.837367491,2388888.837367765,2388888.83736804,2388888.852620346,2388888.886746918,,,2388888.981104843,2388889.001554761,
resnet101,avgpool,2388888.508836859,2388889.001895031,2388888.837548753,2388888.837585744,2388888.837585908,2388888.837586069,2388888.893986641,2388888.894299487,,,2388889.001573461,2388889.001861272,
resnet101,fc,2388888.508839625,2388889.002409365,2388888.83763888,2388888.852152389,2388888.852152582,2388888.852152817,2388888.894310817,2388888.901452125,,,2388889.001872536,2388889.002376025,
resnet101,conv1,2388889.560196368,2388889.57607774,2388889.560441915,2388889.560969552,2388889.560970266,2388889.560970824,2388889.561101323,2388889.56226775,,,2388889.562299781,2388889.57347311,
resnet101,bn1,2388889.560206275,2388889.584744348,2388889.561164001,2388889.562127207,2388889.562127544,2388889.562127728,2388889.562385929,2388889.564142412,,,2388889.573487844,2388889.583752505,
resnet101,relu,2388889.560209072,2388889.587590001,2388889.562427165,2388889.562449741,2388889.562449954,2388889.56245011,2388889.564375913,2388889.564627692,,,2388889.583787937,2388889.585826632,
resnet101,maxpool,2388889.560211378,2388889.588715179,2388889.562678175,2388889.562710027,2388889.562710278,2388889.562710452,2388889.564640603,2388889.56506352,,,2388889.585839838,2388889.588699874,
resnet101,layer1,2388889.560213619,2388889.615139384,2388889.56278792,2388889.568469157,2388889.568469483,2388889.568469659,2388889.572389213,2388889.591161102,,,2388889.591277328,2388889.615093113,
resnet101,layer2,2388889.560215723,2388889.636688628,2388889.572280673,2388889.594599813,2388889.594600148,2388889.594600371,2388889.594718719,2388889.615670873,,,2388889.615717799,2388889.636658548,
