model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet101,fc,2392389.982022492,2392390.387335477,2392390.313581592,2392390.33299636,2392390.33299663,2392390.332996972,2392390.333142835,2392390.333579759,2392390.326921721,2392390.330227932,2392390.386767183,2392390.387304945,
resnet152,conv1,2392390.807530642,2392390.814711442,2392390.80781767,2392390.808079119,2392390.808079314,2392390.80807949,2392390.808173639,2392390.809560126,,,2392390.809803278,2392390.814419159,
resnet152,bn1,2392390.807539732,2392390.830603407,2392390.808219398,2392390.808508735,2392390.808508909,2392390.808509033,2392390.809654592,2392390.811305477,,,2392390.814433187,2392390.830561661,
resnet152,relu,2392390.807542506,2392390.832367949,2392390.80857176,2392390.808587591,2392390.808587759,2392390.808587877,2392390.811529748,2392390.811887436,,,2392390.83057808,2392390.832257645,
resnet152,maxpool,2392390.807544975,2392390.833953288,2392390.808634773,2392390.808658132,2392390.808658298,2392390.808658436,2392390.811900582,2392390.812246397,,,2392390.832267918,2392390.833931153,
resnet152,layer1,2392390.807547448,2392390.857744091,2392390.808832071,2392390.820187749,2392390.82018805,2392390.820188225,2392390.827996631,2392390.834126992,2392390.813349974,2392390.827973956,2392390.834170716,2392390.857652361,
resnet152,layer2,2392390.807549541,2392390.914916117,2392390.820403864,2392390.857609351,2392390.857609645,2392390.857609863,2392390.866067273,2392390.872526905,2392390.835453369,2392390.866048074,2392390.872592633,2392390.914778814,
resnet152,layer3,2392390.807551784,2392391.420511628,2392390.857760936,2392391.15812282,2392391.158123248,2392391.158123404,2392391.158255013,2392391.217165916,2392390.874060651,2392391.034858219,2392391.217298985,2392391.420418849,
resnet152,layer4,2392390.807554297,2392391.44094655,2392391.159679076,2392391.263989581,2392391.263989868,2392391.263990114,2392391.264240656,2392391.272593895,2392391.220622928,2392391.259811129,2392391.420455962,2392391.440895823,
resnet152,avgpool,2392390.807556645,2392391.441229785,2392391.264152559,2392391.264169503,2392391.264169706,2392391.264169888,2392391.284993726,2392391.285631196,,,2392391.44091313,2392391.4412031,
resnet152,fc,2392390.807559262,2392391.441755925,2392391.264473009,2392391.280988205,2392391.280988494,2392391.280988788,2392391.285653413,2392391.291909986,,,2392391.441212344,2392391.441725132,
resnet152,conv1,2392392.172735498,2392392.18555506,2392392.172974293,2392392.173510555,2392392.173511131,2392392.173511631,2392392.173612538,2392392.174697078,,,2392392.174716713,2392392.184928843,
resnet152,bn1,2392392.172751815,2392392.187378531,2392392.173690002,2392392.173943591,2392392.173943823,2392392.173944032,2392392.174812415,2392392.176097727,,,2392392.184973966,2392392.187006058,
resnet152,relu,2392392.172755626,2392392.188733786,2392392.174013742,2392392.174034088,2392392.174034282,2392392.174034489,2392392.176197133,2392392.176421068,,,2392392.187022157,2392392.18864719,
resnet152,maxpool,2392392.172758604,2392392.190145656,2392392.174376405,2392392.17440708,2392392.174407298,2392392.174407471,2392392.176430431,2392392.17658428,,,2392392.188659776,2392392.19010072,
resnet152,layer1,2392392.172761292,2392392.209283144,2392392.17451821,2392392.188313921,2392392.18831428,2392392.188314487,2392392.18839366,2392392.191324422,2392392.177674219,2392392.188213083,2392392.191348987,2392392.209251129,
resnet152,layer2,2392392.172763924,2392392.260410933,2392392.188514998,2392392.220594776,2392392.220595106,2392392.22059529,2392392.220681522,2392392.22487782,2392392.192573262,2392392.216339938,2392392.224907921,2392392.260301874,
resnet152,layer3,2392392.172766805,2392392.748576628,2392392.220845009,2392392.510271167,2392392.510271409,2392392.510271661,2392392.510389011,2392392.558364576,2392392.226193537,2392392.378951112,2392392.558463789,2392392.748475166,
resnet152,layer4,2392392.172769873,2392392.766997534,2392392.511385585,2392392.612248959,2392392.612249292,2392392.612249487,2392392.61246712,2392392.62048567,2392392.561976132,2392392.600347523,2392392.748514025,2392392.766946295,
resnet152,avgpool,2392392.172772534,2392392.767279756,2392392.612862697,2392392.612880676,2392392.612880838,2392392.612880969,2392392.63271512,2392392.633297187,,,2392392.766967256,2392392.767253173,
resnet152,fc,2392392.172775171,2392392.767752918,2392392.612933276,2392392.629164377,2392392.629164611,2392392.629164839,2392392.633321695,2392392.638033557,,,2392392.767262885,2392392.767733958,
resnet152,conv1,2392393.489029771,2392393.502811265,2392393.489322761,2392393.489827142,2392393.489827728,2392393.489828202,2392393.491250676,2392393.492101163,,,2392393.492120389,2392393.502643568,
resnet152,bn1,2392393.489041178,2392393.504902162,2392393.489962329,2392393.490715209,2392393.490715464,2392393.490715676,2392393.49222516,2392393.492419353,2392393.489892912,2392393.491237751,2392393.502680479,2392393.504798397,
resnet152,relu,2392393.489044487,2392393.506614964,2392393.491095838,2392393.491118686,2392393.491118919,2392393.491119077,2392393.492584235,2392393.492985364,,,2392393.504809223,2392393.506586593,
resnet152,maxpool,2392393.489047336,2392393.508227427,2392393.491278057,2392393.49130784,2392393.491308123,2392393.491308265,2392393.492994736,2392393.493397925,,,2392393.506596069,2392393.508211489,
resnet152,layer1,2392393.489050181,2392393.528289411,2392393.491372925,2392393.498773498,2392393.498773796,2392393.498773986,2392393.506023453,2392393.508967224,2392393.494644711,2392393.506007448,2392393.509000684,2392393.528229435,
resnet152,layer2,2392393.489052756,2392393.576151242,2392393.498997396,2392393.533356089,2392393.533356337,2392393.533356528,2392393.533423493,2392393.537021832,2392393.510228679,2392393.530417635,2392393.537061308,2392393.576109127,
resnet152,layer3,2392393.489055505,2392394.064331426,2392393.533587823,2392393.827318008,2392393.82731832,2392393.827318535,2392393.827455514,2392393.876986484,2392393.538641032,2392393.684988961,2392393.877098482,2392394.064230124,
resnet152,layer4,2392393.489058024,2392394.083424556,2392393.828838766,2392393.937255324,2392393.937256011,2392393.93725634,2392393.937434409,2392393.945598966,2392393.880049887,2392393.91563584,2392394.064268681,2392394.083368842,
resnet152,avgpool,2392393.48906085,2392394.083699257,2392393.937725362,2392393.937747105,2392393.937747399,2392393.93774758,2392393.94581372,2392393.946458717,,,2392394.083390774,2392394.083671138,
resnet152,fc,2392393.48906363,2392394.084166296,2392393.937990816,2392393.957113692,2392393.957113977,2392393.957114308,2392393.957223354,2392393.957784461,2392393.947568869,2392393.951435637,2392394.083681466,2392394.084147177,
resnet101,conv1,2392394.795797232,2392394.806644853,2392394.796060008,2392394.796502971,2392394.79650326,2392394.796503467,2392394.796575322,2392394.797516106,,,2392394.797533793,2392394.80654922,
resnet101,bn1,2392394.795807187,2392394.808280523,2392394.796612239,2392394.797000434,2392394.797000687,2392394.797000918,2392394.797635249,2392394.798805313,,,2392394.806566164,2392394.808099148,
resnet101,relu,2392394.795809889,2392394.810229493,2392394.797259478,2392394.797281513,2392394.797281697,2392394.797281906,2392394.79886919,2392394.799240041,,,2392394.808125284,2392394.809573994,
resnet101,maxpool,2392394.79581268,2392394.811955817,2392394.797386062,2392394.797416565,2392394.797416726,2392394.797416913,2392394.799249183,2392394.799385384,,,2392394.809586082,2392394.811769224,
resnet101,layer1,2392394.795815077,2392394.838435557,2392394.797661281,2392394.808747358,2392394.808747645,2392394.808747849,2392394.815465385,2392394.818201769,2392394.800460754,2392394.815442362,2392394.818247056,2392394.838321501,
resnet101,layer2,2392394.795817198,2392394.865162587,2392394.80949813,2392394.828483733,2392394.828484045,2392394.828484249,2392394.83907868,2392394.842422621,2392394.819786246,2392394.839063741,2392394.842460947,2392394.865119332,
resnet101,layer3,2392394.795819354,2392395.188546809,2392394.828583907,2392395.03080165,2392395.030801984,2392395.030802152,2392395.030919069,2392395.058551243,2392394.843734592,2392394.973362631,2392395.058661456,2392395.188483262,
resnet101,layer4,2392394.795821524,2392395.207856619,2392395.031385921,2392395.15336143,2392395.153361962,2392395.153362244,2392395.153522754,2392395.162670116,2392395.066804771,2392395.101040158,2392395.188504175,2392395.207789931,
resnet101,avgpool,2392394.79582389,2392395.208199202,2392395.153903912,2392395.153939129,2392395.153940759,2392395.153940874,2392395.162905243,2392395.163636534,,,2392395.207812069,2392395.208166097,
resnet101,fc,2392394.795826127,2392395.20875906,2392395.154056154,2392395.171250216,2392395.171250578,2392395.17125099,2392395.171386245,2392395.172158395,2392395.164756671,2392395.168824163,2392395.20817615,2392395.208741011,
resnet101,conv1,2392395.651600621,2392395.668921765,2392395.651922283,2392395.652541279,2392395.652541701,2392395.652542102,2392395.653952842,2392395.654994313,,,2392395.655117332,2392395.66876058,
resnet101,bn1,2392395.651613836,2392395.671704632,2392395.652653389,2392395.653270549,2392395.653270749,2392395.653270996,2392395.655226755,2392395.65557927,2392395.652338056,2392395.653936319,2392395.668778368,2392395.671353626,
resnet101,relu,2392395.651618078,2392395.673168302,2392395.653883168,2392395.653905063,2392395.653905331,2392395.653905497,2392395.655662612,2392395.655907143,,,2392395.671376831,2392395.672921347,
resnet101,maxpool,2392395.651621158,2392395.674950978,2392395.654037063,2392395.654066933,2392395.654067122,2392395.654067326,2392395.655918828,2392395.656406496,,,2392395.672931493,2392395.674921849,
resnet101,layer1,2392395.651623697,2392395.701317503,2392395.654125593,2392395.661598206,2392395.661598451,2392395.661598617,2392395.675025657,2392395.677949815,2392395.657492857,2392395.674993181,2392395.677979446,2392395.701264153,
resnet101,layer2,2392395.651626336,2392395.72327491,2392395.66851162,2392395.695984438,2392395.695984782,2392395.695985039,2392395.696088183,2392395.698569491,2392395.67945207,2392395.69321251,2392395.70128272,2392395.723238357,
resnet101,layer3,2392395.651628771,2392396.04219841,2392395.696256239,2392395.889695234,2392395.889695498,2392395.889695698,2392395.889787304,2392395.912161067,2392395.699717628,2392395.792268224,2392395.912257401,2392396.042090444,
resnet101,layer4,2392395.651631057,2392396.065954348,2392395.890377777,2392396.014453757,2392396.014454083,2392396.01445463,2392396.014612653,2392396.022612302,2392395.914414098,2392395.948079018,2392396.042125436,2392396.065853758,
resnet101,avgpool,2392395.651633705,2392396.066320101,2392396.015075426,2392396.015099428,2392396.015099629,2392396.015099825,2392396.022861705,2392396.0235068,,,2392396.065885372,2392396.066264358,
resnet101,fc,2392395.651636119,2392396.066845413,2392396.015181411,2392396.031432663,2392396.031432869,2392396.031433148,2392396.031533408,2392396.032225062,2392396.024631919,2392396.028950701,2392396.066285299,2392396.066814947,
resnet152,conv1,2392396.521854373,2392396.535442398,2392396.522249447,2392396.523251395,2392396.52325158,2392396.523251903,2392396.524125087,2392396.525058517,,,2392396.525259605,2392396.535074308,
resnet152,bn1,2392396.521872373,2392396.538473565,2392396.523613137,2392396.524321183,2392396.524321403,2392396.524321542,2392396.525365469,2392396.525514601,2392396.522587051,2392396.524111792,2392396.535102058,2392396.537717916,
