model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
vgg19,features,2388225.613517515,2388226.021384835,2388225.613839867,2388225.769948833,2388225.769949211,2388225.887732249,2388225.887872086,2388225.969374287,,,2388225.969427035,2388226.021305799,
vgg19,avgpool,2388225.613527912,2388226.02173392,2388225.88795188,2388225.887987029,2388225.887987286,2388225.887993433,2388225.969641694,2388225.969948293,,,2388226.021333641,2388226.021714941,
vgg19,classifier,2388225.613530641,2388227.725556588,2388225.888121018,2388226.687945214,2388226.687945702,2388227.40077749,2388227.400889234,2388227.708165033,,,2388227.708203169,2388227.725510435,
vgg16,features,2388228.318311168,2388228.613372254,2388228.318552467,2388228.418573296,2388228.418573717,2388228.505367149,2388228.505486037,2388228.552944257,,,2388228.553007288,2388228.613298428,
vgg16,avgpool,2388228.318321048,2388228.613710165,2388228.505558276,2388228.505592115,2388228.505592353,2388228.505598209,2388228.553179265,2388228.553497028,,,2388228.613324038,2388228.613691817,
vgg16,classifier,2388228.318323794,2388230.380246769,2388228.505736955,2388229.298807654,2388229.298808197,2388230.011141265,2388230.011240448,2388230.353845702,,,2388230.353895907,2388230.380173276,
vgg19,features,2388230.92757367,2388231.344517534,2388230.958407337,2388231.084100471,2388231.084100871,2388231.203447578,2388231.20356932,2388231.2718091,,,2388231.271859836,2388231.344441443,
vgg19,avgpool,2388230.927583759,2388231.344953097,2388231.2036358,2388231.20367078,2388231.203671024,2388231.203677204,2388231.272075968,2388231.272737071,,,2388231.344474719,2388231.344925463,
vgg19,classifier,2388230.927586293,2388233.077330505,2388231.203795344,2388232.004365122,2388232.004365536,2388232.715399223,2388232.715526138,2388233.056493812,,,2388233.05653652,2388233.077257223,
vgg19,features,2388233.652036486,2388234.046527357,2388233.656726512,2388233.779808732,2388233.779809113,2388233.897722651,2388233.897875254,2388233.978566252,,,2388233.978616656,2388234.04644996,
vgg19,avgpool,2388233.652049185,2388234.046944502,2388233.897970281,2388233.898008445,2388233.898008732,2388233.898014778,2388233.978824847,2388233.979172107,,,2388234.046479076,2388234.046921828,
vgg19,classifier,2388233.652052961,2388235.760319341,2388233.898201958,2388234.685369268,2388234.685369824,2388235.397752727,2388235.397856325,2388235.738431442,,,2388235.738478891,2388235.760245615,
vgg16,features,2388236.343139997,2388236.649129838,2388236.343437064,2388236.462584685,2388236.462585174,2388236.550534911,2388236.550658063,2388236.591074093,,,2388236.591147784,2388236.649063107,
vgg16,avgpool,2388236.343157526,2388236.64952054,2388236.550739603,2388236.550775025,2388236.550775339,2388236.550780921,2388236.591325573,2388236.591686282,,,2388236.649087646,2388236.649496857,
vgg16,classifier,2388236.343160507,2388238.426234396,2388236.550989937,2388237.34852949,2388237.348529983,2388238.063818982,2388238.063908093,2388238.406074185,,,2388238.40611234,2388238.426186611,
vgg16,features,2388238.971224011,2388239.275718324,2388239.005852404,2388239.097381107,2388239.097381966,2388239.18412269,2388239.184276136,2388239.220993982,,,2388239.221040112,2388239.275643703,
vgg16,avgpool,2388238.971236908,2388239.276137684,2388239.184369376,2388239.184400377,2388239.184400627,2388239.184406657,2388239.221241953,2388239.221570037,,,2388239.275669362,2388239.276116768,
vgg16,classifier,2388238.971239726,2388241.052518844,2388239.184563634,2388239.971255591,2388239.971256078,2388240.68543924,2388240.685536325,2388241.027271308,,,2388241.027313118,2388241.052463698,
vgg16,features,2388241.670269269,2388241.999235391,2388241.699207504,2388241.796581362,2388241.796581738,2388241.883734332,2388241.883827355,2388241.959772628,,,2388241.959817482,2388241.999180219,
vgg16,avgpool,2388241.670283676,2388241.99958555,2388241.883919802,2388241.883949225,2388241.883949489,2388241.883955397,2388241.960025853,2388241.960648722,,,2388241.999197676,2388241.999558652,
vgg16,classifier,2388241.670287001,2388243.765665702,2388241.884139797,2388242.674500377,2388242.674500873,2388243.391570555,2388243.391668453,2388243.736795802,,,2388243.736830576,2388243.765591568,
vgg19,features,2388244.328742635,2388244.745355695,2388244.329053333,2388244.478184536,2388244.478184904,2388244.597118008,2388244.597285604,2388244.694276146,,,2388244.694324231,2388244.745284754,
vgg19,avgpool,2388244.328754277,2388244.745641721,2388244.597366696,2388244.597401989,2388244.597402525,2388244.597408228,2388244.694510249,2388244.695105215,,,2388244.745307838,2388244.745621319,
vgg19,classifier,2388244.328756965,2388246.468233495,2388244.597551938,2388245.383658446,2388245.383659004,2388246.097345344,2388246.097460742,2388246.439282617,,,2388246.439316372,2388246.468181787,
vgg16,features,2388247.062544742,2388247.40627636,2388247.090921262,2388247.191963177,2388247.191963588,2388247.278692665,2388247.278830403,2388247.353985172,,,2388247.354048215,2388247.406210097,
vgg16,avgpool,2388247.062557595,2388247.406639435,2388247.278922531,2388247.278954875,2388247.278955147,2388247.278961281,2388247.35423032,2388247.354572232,,,2388247.406237086,2388247.406620989,
vgg16,classifier,2388247.062560358,2388249.116389678,2388247.279105966,2388248.064386317,2388248.064386822,2388248.779855963,2388248.779942363,2388249.094818208,,,2388249.094857896,2388249.116317864,
vgg19,features,2388249.682931187,2388250.119470929,2388249.713260119,2388249.836028367,2388249.836028765,2388249.954003355,2388249.954097835,2388250.05089042,,,2388250.050942965,2388250.119400711,
vgg19,avgpool,2388249.682941159,2388250.119880399,2388249.954187846,2388249.954223818,2388249.954224068,2388249.95423007,2388250.051142807,2388250.051473417,,,2388250.119430576,2388250.119847591,
vgg19,classifier,2388249.68294422,2388251.799109933,2388249.954377315,2388250.754709621,2388250.75471019,2388251.465799743,2388251.46590856,2388251.777184272,,,2388251.77721917,2388251.79906623,
vgg16,features,2388252.388605794,2388252.697782827,2388252.388921506,2388252.47894345,2388252.478943895,2388252.565650566,2388252.565768878,2388252.638566617,,,2388252.6386275,2388252.697699111,
vgg16,avgpool,2388252.388615632,2388252.698125553,2388252.565824004,2388252.565862231,2388252.565862548,2388252.565868083,2388252.638808294,2388252.639137583,,,2388252.697738884,2388252.698105261,
vgg16,classifier,2388252.38861905,2388254.447255136,2388252.566060269,2388253.35926145,2388253.359262123,2388254.072079521,2388254.072204548,2388254.423891044,,,2388254.423959498,2388254.447193547,
vgg19,features,2388254.987549101,2388255.372614303,2388255.015948331,2388255.148174511,2388255.148174962,2388255.266034929,2388255.266180523,2388255.31907798,,,2388255.319140926,2388255.372492618,
vgg19,avgpool,2388254.987561116,2388255.372957478,2388255.266273811,2388255.266311059,2388255.266311319,2388255.266317158,2388255.319341778,2388255.319941494,,,2388255.372540678,2388255.37292091,
vgg19,classifier,2388254.987563893,2388257.135340636,2388255.266489583,2388256.050651796,2388256.050652403,2388256.7646436,2388256.764740392,2388257.105741435,,,2388257.105774375,2388257.135302466,
vgg16,features,2388257.724378879,2388258.049299481,2388257.724604704,2388257.824558555,2388257.824558926,2388257.90985554,2388257.909957262,2388257.986636951,,,2388257.986702326,2388258.049168263,
vgg16,avgpool,2388257.724388323,2388258.049749509,2388257.910049084,2388257.910082737,2388257.910082988,2388257.91008875,2388257.987225835,2388257.987806386,,,2388258.049222106,2388258.049704738,
vgg16,classifier,2388257.724391344,2388259.782988454,2388257.91024575,2388258.698858467,2388258.6988591,2388259.411965423,2388259.412080747,2388259.760496859,,,2388259.760547636,2388259.782914333,
vgg16,features,2388260.341972872,2388260.687202382,2388260.373122983,2388260.472668639,2388260.472669035,2388260.559465655,2388260.559581391,2388260.633880187,,,2388260.633940191,2388260.687144392,
vgg16,avgpool,2388260.341983257,2388260.687543114,2388260.559691977,2388260.55972497,2388260.559725185,2388260.559731149,2388260.634119644,2388260.634444616,,,2388260.687166183,2388260.687526803,
vgg16,classifier,2388260.341986468,2388262.421467365,2388260.559894204,2388261.342040745,2388261.342041398,2388262.055234106,2388262.055322289,2388262.398345806,,,2388262.398394361,2388262.421390892,
vgg16,features,2388262.964109018,2388263.280070832,2388262.964414695,2388263.070014165,2388263.070014568,2388263.156889368,2388263.157023127,2388263.225294103,,,2388263.225360646,2388263.279992443,
vgg16,avgpool,2388262.96412042,2388263.280551293,2388263.157079258,2388263.157111469,2388263.157111982,2388263.157117829,2388263.225543017,2388263.225868408,,,2388263.280024831,2388263.280516202,
vgg16,classifier,2388262.964123085,2388264.984397657,2388263.157223084,2388263.933565032,2388263.933565443,2388264.646410809,2388264.646517618,2388264.958214832,,,2388264.958271574,2388264.984346417,
vgg19,features,2388265.532919619,2388265.957080215,2388265.533218268,2388265.680236025,2388265.680236427,2388265.798478337,2388265.798582337,2388265.896350225,,,2388265.896397916,2388265.956990912,
vgg19,avgpool,2388265.53293123,2388265.957425076,2388265.798674031,2388265.7987119,2388265.798712214,2388265.79871772,2388265.896595394,2388265.896917751,,,2388265.957035207,2388265.957406517,
vgg19,classifier,2388265.532934043,2388267.704281995,2388265.798890856,2388266.601909701,2388266.601910262,2388267.346838786,2388267.346936801,2388267.685411814,,,2388267.685450922,2388267.704239796,
vgg16,features,2388268.342679309,2388268.630906501,2388268.342990203,2388268.441472002,2388268.441472343,2388268.528317481,2388268.528436714,2388268.572917349,,,2388268.572961306,2388268.630815516,
vgg16,avgpool,2388268.342691789,2388268.631254333,2388268.528499664,2388268.52853133,2388268.528531598,2388268.528536767,2388268.573140548,2388268.573468307,,,2388268.630861632,2388268.631233022,
vgg16,classifier,2388268.342695155,2388270.397324834,2388268.528650681,2388269.323248545,2388269.323248919,2388270.043497919,2388270.043742248,2388270.380803041,,,2388270.380848995,2388270.397239539,
vgg16,features,2388270.922491754,2388271.237825116,2388270.95385912,2388271.053552833,2388271.053553366,2388271.140723344,2388271.140861179,2388271.180841638,,,2388271.180905258,2388271.237746543,
vgg16,avgpool,2388270.922509653,2388271.238257232,2388271.140961806,2388271.140998566,2388271.140998825,2388271.141004466,2388271.1810961,2388271.181484653,,,2388271.237776712,2388271.238233854,
vgg16,classifier,2388270.922513057,2388273.013032584,2388271.141168384,2388271.93289685,2388271.932897442,2388272.643780848,2388272.643881843,2388272.988938845,,,2388272.988972156,2388273.012984512,
vgg19,features,2388273.548382099,2388273.987593369,2388273.581352489,2388273.715716234,2388273.715716749,2388273.833444144,2388273.833603826,2388273.922588196,,,2388273.922647626,2388273.987517817,
vgg19,avgpool,2388273.548394031,2388273.987950017,2388273.833697679,2388273.833733573,2388273.833733813,2388273.833739871,2388273.922845785,2388273.923173718,,,2388273.987549921,2388273.987932277,
vgg19,classifier,2388273.548397349,2388275.719968782,2388273.833929398,2388274.634237203,2388274.634237764,2388275.345446468,2388275.345544599,2388275.698610101,,,2388275.698673322,2388275.719912996,
vgg16,features,2388276.346432246,2388276.656710619,2388276.346723436,2388276.445543241,2388276.445543672,2388276.532346291,2388276.532469164,2388276.593045746,,,2388276.593109712,2388276.656639482,
vgg16,avgpool,2388276.346443228,2388276.657072184,2388276.532528463,2388276.532561531,2388276.532561827,2388276.532567442,2388276.593299024,2388276.593650176,,,2388276.656661645,2388276.657054553,
vgg16,classifier,2388276.34644623,2388278.383337181,2388276.532676078,2388277.315285638,2388277.315286192,2388278.028062945,2388278.028164053,2388278.357133805,,,2388278.357172942,2388278.383250919,
vgg19,features,2388278.923720032,2388279.329483331,2388278.952366985,2388279.074705411,2388279.07470579,2388279.192878459,2388279.192970277,2388279.258801313,,,2388279.258861017,2388279.329408373,
