model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
resnet152,layer2,2390369.824097908,2390369.950873018,2390369.839165059,2390369.874582557,2390369.874582851,2390369.8909188,2390369.890986946,2390369.897931958,2390369.849915145,2390369.87047744,2390369.897973879,2390369.950737098,
resnet152,layer3,2390369.824100117,2390370.707867599,2390369.891213318,2390370.189591783,2390370.189592136,2390370.44167492,2390370.441866769,2390370.502774502,2390369.899432588,2390370.048451525,2390370.502889868,2390370.707724461,
resnet152,layer4,2390369.824101988,2390370.72694895,2390370.443314854,2390370.556288982,2390370.556289439,2390370.666352462,2390370.666580843,2390370.686059164,2390370.50629337,2390370.5431432,2390370.70776802,2390370.726885173,
resnet152,avgpool,2390369.824103893,2390370.727287571,2390370.666950353,2390370.666987433,2390370.666987572,2390370.666992281,2390370.698986126,2390370.700726562,,,2390370.726911864,2390370.727259379,
resnet152,fc,2390369.824106089,2390370.727736904,2390370.667178538,2390370.684736559,2390370.684736813,2390370.700867551,2390370.701007754,2390370.707248309,,,2390370.727269399,2390370.727720063,
resnet50,conv1,2390371.452369276,2390371.465154104,2390371.452620529,2390371.453278784,2390371.453279388,2390371.453683014,2390371.454259487,2390371.454971974,,,2390371.454989326,2390371.465062201,
resnet50,bn1,2390371.452378956,2390371.470338517,2390371.453933077,2390371.45443634,2390371.454436709,2390371.454474501,2390371.455094806,2390371.455240495,2390371.453177389,2390371.454246277,2390371.46508506,2390371.46970448,
resnet50,relu,2390371.452381727,2390371.471875999,2390371.454732132,2390371.454755314,2390371.454755538,2390371.454759403,2390371.45528037,2390371.45593743,,,2390371.469728779,2390371.471720066,
resnet50,maxpool,2390371.452383947,2390371.473044378,2390371.454901724,2390371.45493645,2390371.454936672,2390371.454940014,2390371.455954625,2390371.456619997,,,2390371.471737881,2390371.47302335,
resnet50,layer1,2390371.45238644,2390371.497386494,2390371.45535155,2390371.472796932,2390371.472797393,2390371.475063921,2390371.475167907,2390371.478583683,2390371.457700875,2390371.471500454,2390371.478655403,2390371.497354061,
resnet50,layer2,2390371.452389177,2390371.528287485,2390371.475328429,2390371.494578553,2390371.494578963,2390371.504773123,2390371.504910048,2390371.508314683,2390371.479963307,2390371.494266097,2390371.508355763,2390371.527935476,
resnet50,layer3,2390371.452391365,2390371.652299373,2390371.50510665,2390371.56525066,2390371.565251021,2390371.609054079,2390371.609178546,2390371.616512013,2390371.509710839,2390371.542245721,2390371.616590878,2390371.652233466,
resnet50,layer4,2390371.452393472,2390371.842383963,2390371.609406007,2390371.711352858,2390371.711353098,2390371.798901489,2390371.799064834,2390371.806049634,2390371.618152977,2390371.680424171,2390371.806104986,2390371.842329192,
resnet50,avgpool,2390371.452395918,2390371.842702763,2390371.799332208,2390371.799373118,2390371.799373484,2390371.799381161,2390371.815094641,2390371.815699054,,,2390371.842348392,2390371.842674082,
resnet50,fc,2390371.45239811,2390371.843225188,2390371.799497452,2390371.819683236,2390371.81968356,2390371.834687792,2390371.834782336,2390371.83573324,2390371.81680914,2390371.826946271,2390371.842683669,2390371.843207151,
resnet50,conv1,2390371.977519032,2390371.990386705,2390371.977753034,2390371.977993401,2390371.977993596,2390371.978074074,2390371.978159238,2390371.979546365,,,2390371.979850226,2390371.990328109,
resnet50,bn1,2390371.977531085,2390371.994386386,2390371.978211726,2390371.978523716,2390371.978523929,2390371.978544731,2390371.979736002,2390371.981586816,,,2390371.990342727,2390371.993436494,
resnet50,relu,2390371.977534389,2390371.995832912,2390371.978635152,2390371.978655688,2390371.978655868,2390371.978659293,2390371.981613568,2390371.982209586,,,2390371.993453618,2390371.995168939,
resnet50,maxpool,2390371.977537262,2390371.998169192,2390371.978837623,2390371.97887339,2390371.978873585,2390371.978876369,2390371.982222533,2390371.982575773,,,2390371.995185751,2390371.997502244,
resnet50,layer1,2390371.977539964,2390372.019793255,2390371.979182129,2390371.984971028,2390371.984971654,2390371.987155606,2390371.999051064,2390372.001918051,2390371.98366461,2390371.99903764,2390372.001951143,2390372.019754237,
resnet50,layer2,2390371.977542767,2390372.041700778,2390371.990260677,2390372.006508238,2390372.006508599,2390372.017728263,2390372.017847483,2390372.021173386,2390372.003298106,2390372.014279847,2390372.021207203,2390372.041661986,
resnet50,layer3,2390371.977545407,2390372.153844093,2390372.018003524,2390372.066523246,2390372.066523518,2390372.110500846,2390372.110609265,2390372.117342246,2390372.022609898,2390372.045807095,2390372.117393624,2390372.153775884,
resnet50,layer4,2390371.9775481,2390372.337665803,2390372.110768555,2390372.215553022,2390372.215553264,2390372.303321026,2390372.303457668,2390372.311365695,2390372.118834694,2390372.161659401,2390372.311422225,2390372.337606726,
resnet50,avgpool,2390371.97755063,2390372.337936638,2390372.303755888,2390372.303786305,2390372.303786505,2390372.303790545,2390372.320078164,2390372.320694918,,,2390372.337624949,2390372.337918942,
resnet50,fc,2390371.977553357,2390372.343851743,2390372.303914834,2390372.328558029,2390372.328558338,2390372.342668115,2390372.342733972,2390372.343356524,2390372.321791429,2390372.33439682,2390372.3433767,2390372.34382583,
resnet101,conv1,2390372.488960896,2390372.502381042,2390372.489279031,2390372.489791487,2390372.489792052,2390372.49004155,2390372.491622715,2390372.492696578,,,2390372.492732085,2390372.502166512,
resnet101,bn1,2390372.488970357,2390372.506278159,2390372.490246377,2390372.490599166,2390372.490599394,2390372.490620207,2390372.493008976,2390372.493247923,2390372.489850399,2390372.491607031,2390372.50219819,2390372.505568781,
resnet101,relu,2390372.488973397,2390372.507460622,2390372.490973721,2390372.490998803,2390372.490998976,2390372.491002861,2390372.493316097,2390372.493567853,,,2390372.505615103,2390372.50725778,
resnet101,maxpool,2390372.488975617,2390372.50987531,2390372.491658559,2390372.491691311,2390372.491691462,2390372.491695185,2390372.493580031,2390372.494037286,,,2390372.507271933,2390372.509839898,
resnet101,layer1,2390372.488977782,2390372.53702095,2390372.491776651,2390372.506391321,2390372.506391633,2390372.510352269,2390372.510441211,2390372.513481046,2390372.495118506,2390372.509768319,2390372.513515607,2390372.536978104,
resnet101,layer2,2390372.488979609,2390372.568763134,2390372.510570137,2390372.534530318,2390372.534530634,2390372.543423057,2390372.543525873,2390372.546265396,2390372.514750096,2390372.53180938,2390372.546308644,2390372.568691873,
resnet101,layer3,2390372.488981671,2390373.060739404,2390372.543656926,2390372.73422263,2390372.734222968,2390372.896347901,2390372.896652727,2390372.930674311,2390372.547554689,2390372.641499353,2390372.930782952,2390373.060657917,
resnet101,layer4,2390372.48898366,2390373.146567292,2390372.896542047,2390373.01531486,2390373.015315486,2390373.112407943,2390373.112558359,2390373.12172594,2390372.933515936,2390372.974016868,2390373.121792502,2390373.146472662,
resnet101,avgpool,2390372.488985738,2390373.147052079,2390373.112875236,2390373.11291314,2390373.112913362,2390373.112918463,2390373.122125251,2390373.123002603,,,2390373.146510421,2390373.146979128,
resnet101,fc,2390372.488987872,2390373.147666982,2390373.113006039,2390373.129553666,2390373.129553831,2390373.142523282,2390373.142605038,2390373.143450106,2390373.124114349,2390373.128706735,2390373.147002396,2390373.14762889,
resnet50,conv1,2390373.59370121,2390373.607381176,2390373.594009759,2390373.594251049,2390373.594251231,2390373.594327176,2390373.594416524,2390373.596031143,,,2390373.596060549,2390373.604033317,
resnet50,bn1,2390373.593715426,2390373.611294047,2390373.594496431,2390373.594800218,2390373.594800427,2390373.594818441,2390373.596367405,2390373.597666093,,,2390373.604061142,2390373.611126966,
resnet50,relu,2390373.593718795,2390373.612121826,2390373.594905054,2390373.594924287,2390373.59492446,2390373.594927309,2390373.597756803,2390373.598300658,,,2390373.61114167,2390373.61208526,
resnet50,maxpool,2390373.593721705,2390373.613726106,2390373.594986207,2390373.59502267,2390373.595022824,2390373.595025473,2390373.598313721,2390373.598748814,,,2390373.612093927,2390373.613648958,
resnet50,layer1,2390373.59372468,2390373.631296599,2390373.595105377,2390373.600863787,2390373.600864091,2390373.60501764,2390373.611006673,2390373.613977891,2390373.599829527,2390373.610994632,2390373.614010196,2390373.6312691,
resnet50,layer2,2390373.593727423,2390373.655710265,2390373.60552182,2390373.621427545,2390373.621427852,2390373.632147646,2390373.632206987,2390373.634159391,2390373.615383245,2390373.627666646,2390373.634182207,2390373.655680689,
resnet50,layer3,2390373.59373,2390373.759525032,2390373.632333204,2390373.67795907,2390373.677959398,2390373.721790451,2390373.721858109,2390373.727712271,2390373.635378342,2390373.663128201,2390373.727771714,2390373.75865595,
resnet50,layer4,2390373.593732572,2390373.933896895,2390373.722018377,2390373.812919837,2390373.812920306,2390373.900671432,2390373.900782654,2390373.907633417,2390373.729337574,2390373.781136494,2390373.907686852,2390373.933824181,
resnet50,avgpool,2390373.593735466,2390373.934190994,2390373.900999338,2390373.901026459,2390373.901026689,2390373.901030833,2390373.915730904,2390373.916401582,,,2390373.933849091,2390373.934170803,
resnet50,fc,2390373.593738196,2390373.939022471,2390373.901225555,2390373.92327153,2390373.923271793,2390373.938175679,2390373.938229296,2390373.938599612,2390373.917515664,2390373.928491951,2390373.938623377,2390373.938998697,
resnet50,conv1,2390374.09153033,2390374.09983291,2390374.091810982,2390374.092095263,2390374.09209548,2390374.092177299,2390374.092256945,2390374.093306849,,,2390374.093357181,2390374.099569468,
resnet50,bn1,2390374.091540052,2390374.109785008,2390374.092294148,2390374.09256869,2390374.092568903,2390374.092587095,2390374.093325604,2390374.09525832,,,2390374.099607073,2390374.109671362,
resnet50,relu,2390374.09154315,2390374.111216071,2390374.092736792,2390374.092756386,2390374.092756628,2390374.092760081,2390374.095291661,2390374.095550215,,,2390374.109699702,2390374.110969473,
resnet50,maxpool,2390374.0915455,2390374.113058698,2390374.09299455,2390374.093026411,2390374.093026617,2390374.093029626,2390374.095563474,2390374.096030407,,,2390374.110981759,2390374.112842547,
resnet50,layer1,2390374.091547898,2390374.141763099,2390374.093132263,2390374.111878009,2390374.111878449,2390374.11491034,2390374.115045167,2390374.118111143,2390374.09714404,2390374.114440294,2390374.118136689,2390374.141740133,
resnet50,layer2,2390374.091550246,2390374.170925202,2390374.115169465,2390374.13180932,2390374.13180965,2390374.141229484,2390374.14137004,2390374.144095158,2390374.119389598,2390374.130762529,2390374.144120956,2390374.170888464,
resnet50,layer3,2390374.091552445,2390374.282357409,2390374.141494985,2390374.197669794,2390374.197670031,2390374.241364514,2390374.241500473,2390374.246281496,2390374.145368214,2390374.177393788,2390374.246336058,2390374.28231522,
resnet50,layer4,2390374.091554545,2390374.466368815,2390374.241749637,2390374.341927548,2390374.341927885,2390374.429682568,2390374.429845472,2390374.435982341,2390374.247779975,2390374.286769309,2390374.436076163,2390374.466280163,
resnet50,avgpool,2390374.091556828,2390374.466823882,2390374.430197374,2390374.430239236,2390374.43023956,2390374.430245037,2390374.44456768,2390374.445215498,,,2390374.466313824,2390374.466772264,
resnet50,fc,2390374.091558913,2390374.467392206,2390374.430357915,2390374.451106978,2390374.451107217,2390374.463548702,2390374.463653285,2390374.464171615,2390374.446325531,2390374.457691562,2390374.466791799,2390374.467362296,
resnet50,conv1,2390374.672176212,2390374.684400623,2390374.672398841,2390374.672647904,2390374.672648062,2390374.672724836,2390374.672803981,2390374.674485363,,,2390374.674640682,2390374.684169774,
resnet50,bn1,2390374.672188512,2390374.691071886,2390374.672855852,2390374.673134863,2390374.67313505,2390374.673152902,2390374.674754857,2390374.676668451,,,2390374.684195253,2390374.691036506,
resnet50,relu,2390374.672191274,2390374.691857443,2390374.673237974,2390374.673256292,2390374.673256455,2390374.673259555,2390374.67682441,2390374.677163384,,,2390374.691049627,2390374.691831668,
resnet50,maxpool,2390374.672193669,2390374.693177778,2390374.673326821,2390374.673352602,2390374.673352762,2390374.673355693,2390374.677177743,2390374.677963636,,,2390374.691840872,2390374.693138608,
resnet50,layer1,2390374.672195842,2390374.711553462,2390374.673422937,2390374.6840815,2390374.684081945,2390374.68826025,2390374.689796745,2390374.693521988,2390374.67911299,2390374.689784703,2390374.69358453,2390374.711530791,
resnet50,layer2,2390374.672198061,2390374.739311028,2390374.688424887,2390374.704786043,2390374.704786313,2390374.714880695,2390374.714952086,2390374.716842763,2390374.694931252,2390374.707830045,2390374.71688301,2390374.739232361,
resnet50,layer3,2390374.672200017,2390374.860096189,2390374.715075314,2390374.77185996,2390374.771860242,2390374.815660346,2390374.815747775,2390374.821729787,2390374.7181102,2390374.747334864,2390374.821802721,2390374.859839127,
resnet50,layer4,2390374.672201978,2390375.044221294,2390374.815934131,2390374.923568611,2390374.923568873,2390375.011367676,2390375.011497444,2390375.018519515,2390374.823372668,2390374.878451874,2390375.018575767,2390375.044161973,
resnet50,avgpool,2390374.672204304,2390375.04448531,2390375.011789115,2390375.011817118,2390375.011817334,2390375.011821872,2390375.026888131,2390375.027514973,,,2390375.044183234,2390375.044466744,
resnet50,fc,2390374.672206742,2390375.050696336,2390375.012339259,2390375.035407087,2390375.035407416,2390375.049889654,2390375.049950492,2390375.050309972,2390375.028622948,2390375.041120818,2390375.05033006,2390375.050675233,
resnet152,conv1,2390375.260148805,2390375.272178825,2390375.260481899,2390375.26098879,2390375.260989387,2390375.261288508,2390375.261865268,2390375.262655323,,,2390375.262672091,2390375.271970004,
resnet152,bn1,2390375.260157748,2390375.279935308,2390375.261470023,2390375.262009637,2390375.26200988,2390375.262030158,2390375.262773852,2390375.26288132,2390375.260838309,2390375.261853751,2390375.271984308,2390375.27967315,
resnet152,relu,2390375.26016034,2390375.281062425,2390375.262131563,2390375.262152386,2390375.262152595,2390375.262155973,2390375.262970652,2390375.263596963,,,2390375.279692561,2390375.280935945,
resnet152,maxpool,2390375.26016256,2390375.282751687,2390375.262398157,2390375.262430916,2390375.262431104,2390375.262434007,2390375.263610631,2390375.264017191,,,2390375.280953701,2390375.282729435,
resnet152,layer1,2390375.260165244,2390375.30752042,2390375.26257633,2390375.283099718,2390375.283100132,2390375.285562599,2390375.285667334,2390375.288642871,2390375.265123862,2390375.282468143,2390375.288696188,2390375.307429092,
resnet152,layer2,2390375.260167335,2390375.391860479,2390375.285835301,2390375.323308617,2390375.323308941,2390375.342541688,2390375.342664853,2390375.349492397,2390375.290124653,2390375.315048991,2390375.349560316,2390375.391718137,
resnet152,layer3,2390375.260169247,2390376.148145352,2390375.342931782,2390375.650659706,2390375.650660054,2390375.90992611,2390375.910068904,2390375.961530428,2390375.351279318,2390375.525442194,2390375.961640846,2390376.14805747,
resnet152,layer4,2390375.260171509,2390376.182860596,2390375.911511552,2390376.029338494,2390376.029338975,2390376.143346084,2390376.143505109,2390376.157358342,2390375.96501851,2390376.003099683,2390376.157429438,2390376.182779781,
resnet152,avgpool,2390375.260173894,2390376.183272184,2390376.14382466,2390376.143857544,2390376.143857724,2390376.1438625,2390376.157798713,2390376.15852339,,,2390376.182806079,2390376.183218345,
resnet152,fc,2390375.260175809,2390376.183799972,2390376.143975307,2390376.160943053,2390376.160943271,2390376.173717584,2390376.173909317,2390376.174629579,2390376.15964361,2390376.165142929,2390376.183233253,2390376.183762646,
resnet152,conv1,2390377.104606555,2390377.118009113,2390377.105001608,2390377.106093191,2390377.106093705,2390377.106533789,2390377.106639014,2390377.1075588,,,2390377.107576221,2390377.117822299,
resnet152,bn1,2390377.104619326,2390377.124846751,2390377.10667294,2390377.106963663,2390377.106963893,2390377.106986494,2390377.107692368,2390377.107989357,2390377.105323784,2390377.10649208,2390377.117877438,2390377.12480655,
resnet152,relu,2390377.1046222,2390377.125682897,2390377.107191134,2390377.107219845,2390377.107220029,2390377.10722372,2390377.108019481,2390377.108322531,,,2390377.124820339,2390377.125573619,
resnet152,maxpool,2390377.104624664,2390377.127172174,2390377.107330836,2390377.107378444,2390377.107378613,2390377.107382011,2390377.108331662,2390377.108660058,,,2390377.125586649,2390377.127148387,
resnet152,layer1,2390377.104626784,2390377.146012621,2390377.107720192,2390377.122240387,2390377.122240639,2390377.125194573,2390377.12527502,2390377.12829552,2390377.109736799,2390377.123664166,2390377.128324784,2390377.145984518,
resnet152,layer2,2390377.104629134,2390377.211669601,2390377.125417788,2390377.152394824,2390377.152395101,2390377.168389712,2390377.168452513,2390377.174955286,2390377.12971839,2390377.151702026,2390377.174988139,2390377.211614359,
